"married","educ","female","retired","netwealth","age","riskyasset","netinc"
1,0,1,0,106.766609191895,57,0,4.80000019073486
1,0,0,1,3,57,NA,23.3999996185303
1,0,0,0,121,64,0,37.7000007629395
1,0,0,1,922.200073242188,72,0,28.2000007629395
1,0,1,1,107,58,0,18.0900001525879
0,0,1,1,181,71,0,24.1000003814697
0,0,1,1,44.7062759399414,76,0,15.3999996185303
0,0,0,1,50,75,0,7.69999980926514
0,0,1,1,6.17414712905884,86,0,10.1999998092651
0,0,1,1,289.161468505859,65,53.7352066040039,29.1399993896484
0,0,0,1,47.0376930236816,74,0,26.3999996185303
1,0,0,1,359,63,0,22.7999992370605
1,0,0,1,422.600006103516,66,0,15.3000001907349
1,0,0,1,220.459320068359,63,0,24
1,1,0,0,5.5,66,0,17.6000003814697
0,0,1,1,0,77,NA,9.28999996185303
1,0,0,0,186.27619934082,61,0,33.5999984741211
1,0,0,0,235.270797729492,61,0,46
1,0,1,1,350,67,0,15
1,0,0,1,100.099998474121,88,NA,10.1000003814697
1,0,0,0,3.60360836982727,56,0,13.3333330154419
0,0,0,1,357.372131347656,71,0,20.8799991607666
0,0,0,1,240.100006103516,74,0,27
1,0,0,0,448.445465087891,58,0,22.7000007629395
0,0,1,1,225,55,0,35.2999992370605
1,0,0,1,292.5,62,0,28.7250003814697
0,0,1,0,90,84,NA,4.19999980926514
1,0,0,1,715,84,33.7837829589844,39.3689994812012
1,0,0,1,83.5,64,0,33.0400009155273
1,0,0,1,158.673736572266,74,0,20.3999996185303
0,0,1,0,11.1534786224365,56,0,16.5
1,1,0,0,9.03982925415039,65,0,12
0,0,1,1,5.50053310394287,65,0,15.8599996566772
0,0,1,1,202.300003051758,78,0,17.7999992370605
0,0,0,1,15,92,0,20.3999996185303
1,0,0,1,63,60,0,20.9899997711182
0,0,1,0,156,62,0,5.40000009536743
0,1,1,1,15,77,NA,11.6999998092651
1,0,1,0,-46.8643951416016,57,0,0
1,0,1,1,210,72,NA,15.8999996185303
1,0,0,1,482.480010986328,71,71.4285736083984,35.9500007629395
0,1,1,1,82.6608123779297,75,0,22.7999992370605
1,0,1,0,362,60,0,25.8999996185303
0,0,1,1,155.5,93,0,17.0499992370605
1,0,0,1,2431.38232421875,74,69.5289306640625,116.449996948242
0,0,0,1,115.20703125,81,70.2412185668945,20.2649993896484
0,0,1,1,153,88,NA,13.8999996185303
0,0,1,1,150,72,NA,10.8000001907349
1,0,1,1,157.5,71,0,12.7600002288818
1,1,0,0,639.737915039062,62,66.5052642822266,59.5958557128906
1,0,0,0,71.9437484741211,57,86.1002502441406,20.5877170562744
1,0,1,0,230,55,NA,7.19999980926514
1,0,1,0,271.299987792969,60,0,11.6000003814697
0,0,0,1,7.17449569702148,86,0,19.7999992370605
1,0,0,1,565,76,0,14.3999996185303
0,0,0,0,310.138122558594,66,0,38.7999992370605
1,0,0,1,157.980865478516,68,0,15.5200004577637
0,0,1,0,146.891952514648,75,0,15.8999996185303
0,0,1,0,74,64,0,9.59099960327148
1,0,0,1,616,73,0,31.8099994659424
1,0,0,0,114,55,0,29.2000007629395
1,0,0,0,18.2999992370605,56,0,23.7000007629395
0,0,0,1,121.839622497559,66,0,24.1000003814697
1,0,1,1,127,76,0,13.8000001907349
1,1,0,1,918.728820800781,87,40.1603622436523,78.5999984741211
1,0,0,1,228.133331298828,79,0,20.2999992370605
0,0,0,1,136.300003051758,73,0,14.6000003814697
1,0,0,1,435.600006103516,63,0,28.1499996185303
1,0,1,0,281.210601806641,57,0,7.80000019073486
1,0,0,1,146.608001708984,68,0,23.8500003814697
0,0,1,1,200.300003051758,74,NA,12
1,0,0,1,110.349235534668,80,40.8398284912109,23.8799991607666
1,0,0,1,127.867370605469,72,0,20.1399993896484
0,0,1,1,27.3839550018311,72,0,14
1,0,0,1,11.8000001907349,80,0,16.3799991607666
1,0,0,1,271,64,0,44.0499992370605
0,0,0,1,534.366943359375,64,0,19.3999996185303
0,0,1,1,200.100006103516,87,NA,11.3999996185303
0,0,0,1,74.9000015258789,70,0,23.1000003814697
0,0,1,1,17.5,71,0,17.25
0,0,1,1,150,71,0,20.6399993896484
0,0,1,1,13.0010004043579,81,0,7.80000019073486
0,0,0,1,100,73,0,9.10000038146973
0,0,1,1,351.551361083984,84,0,15.5500001907349
0,0,0,1,30.6000003814697,71,0,10.1999998092651
1,0,0,0,216.300003051758,56,0,20.3999996185303
1,0,0,0,6.96940088272095,63,0,0
0,0,1,1,247.50212097168,72,0,18.1399993896484
1,0,0,1,518.730590820312,82,0,42.5999984741211
0,0,1,1,102,87,NA,14.5500001907349
0,0,0,0,198,59,37.8378372192383,20.6000003814697
1,1,0,0,3963.05908203125,75,92.3513259887695,134.111114501953
1,0,0,1,194.761535644531,77,0,34.5999984741211
1,0,0,1,0.150000005960464,76,NA,11.5699996948242
0,0,1,0,0,65,NA,NA
0,0,1,1,2.5,78,0,7.80000019073486
1,0,0,1,80.5337677001953,72,0,21.7000007629395
1,0,1,0,-6.6474928855896,61,0,0
1,0,0,1,131.58903503418,76,0,19.7000007629395
1,0,1,0,0,68,NA,NA
0,0,1,1,74.0502777099609,92,0,19.2000007629395
0,0,0,1,125,55,0,21.25
1,0,0,1,260,78,0,23.1100006103516
1,0,1,1,793.2080078125,58,0,37.9000015258789
0,0,0,1,158,61,0,21.1000003814697
0,0,1,1,120.099998474121,79,NA,13.8999996185303
0,0,1,1,314.421295166016,80,0,21.3939990997314
1,0,0,0,14,61,0,21
1,0,0,1,541.695678710938,65,0,26.1000003814697
1,0,0,0,76.6419982910156,56,1.24710738658905,27.5200004577637
1,0,0,1,126.761352539062,69,0,19.1000003814697
0,0,1,1,1.5,80,0,7.15000009536743
1,0,0,0,515,65,0,70.8000030517578
1,0,0,1,140.5,74,NA,13.1180000305176
0,0,1,1,33.8486785888672,80,0,18.3500003814697
1,0,0,1,78.9520263671875,65,0,16.7999992370605
1,0,0,1,261.102355957031,70,0,19.7439994812012
1,0,1,0,401.506530761719,63,0,12.5
0,0,1,1,101,79,0,10.6599998474121
0,1,0,1,533,76,0,39.9385986328125
1,0,1,1,138.309219360352,68,0,14.3199996948242
1,0,1,0,207.427536010742,66,0,22
1,0,0,1,356,75,0,21.6000003814697
1,0,1,1,252,79,0,23
0,0,1,1,60.5,83,0,25.2999992370605
0,0,1,1,92.3000030517578,79,0,10.7200002670288
1,0,0,1,255.233413696289,67,0,23.5499992370605
1,0,1,1,204.5,71,0,16.1399993896484
0,0,1,1,102.332305908203,84,0,10.3999996185303
1,0,0,1,161,75,0,20.7600002288818
1,0,0,1,402,76,0,32.7000007629395
1,0,0,1,1,76,NA,10.3999996185303
0,1,1,0,63,57,0,20.3999996185303
0,0,1,0,2.90780901908875,55,0,13
1,1,1,1,1940.19763183594,67,0,57.9109992980957
0,0,0,1,0,72,NA,9.75
0,0,1,1,116,75,0,15.1999998092651
1,0,0,1,364.637329101562,74,0,24.1000003814697
0,0,0,0,52.4000015258789,65,0,15
1,0,0,0,397.460510253906,66,20.4499664306641,46.0400009155273
1,0,0,1,247,64,81.0810775756836,25.5
1,0,0,1,342.45361328125,89,0,21.7999992370605
0,0,1,1,17.5,81,0,13.9099998474121
1,0,1,0,1,60,NA,NA
0,0,0,1,311.245269775391,69,0,23.2999992370605
0,0,1,1,150.287673950195,79,0,13.8999996185303
1,0,1,0,356.199920654297,55,0,3.90000009536743
1,0,0,1,618,63,0,25.2000007629395
0,0,1,1,334,83,0,23.8999996185303
1,0,0,1,202.856155395508,78,0,26.1100006103516
0,0,1,1,334.799987792969,69,0,22.0009994506836
1,0,0,1,521,64,0,39.2000007629395
1,0,0,1,416.488220214844,77,0,30.6000003814697
0,0,1,1,117,93,0,14.3400001525879
1,0,0,1,188,67,NA,23
1,0,0,1,3.79999995231628,58,0,13
0,0,1,1,33,90,0,14.6000003814697
1,0,0,1,653.59228515625,61,0,26.8600006103516
1,0,1,1,231,66,0,22.6000003814697
0,0,1,1,5,73,0,20.3999996185303
0,0,1,1,70,82,NA,11.3000001907349
1,1,0,0,584.119995117188,59,0,50.1370010375977
1,0,0,1,0.100000001490116,78,NA,6.5
0,0,1,1,316,59,0,43.7200012207031
0,0,1,1,235.988815307617,89,0,18.1879997253418
0,0,1,1,2023,84,0,29.2900009155273
1,0,0,0,4.9034276008606,60,0,16
1,0,0,1,432.085113525391,65,0,20.2000007629395
0,0,1,1,100.400001525879,81,NA,13.8999996185303
1,0,0,0,1200.43688964844,56,0,40
0,0,0,1,89.3269958496094,75,0,14.5699996948242
1,1,0,1,967.839904785156,72,0,71.8199996948242
0,1,1,1,416.167175292969,67,0,22.4440002441406
0,0,1,1,161,73,0,20.4249992370605
1,0,0,1,211.404037475586,62,0,23.2269992828369
1,0,0,1,335.5,85,0,32.7200012207031
0,0,1,1,86.7817840576172,67,0,26.6000003814697
1,0,0,1,1451.36474609375,73,16.8820686340332,56.2999992370605
1,0,1,1,40.5,62,NA,21.6200008392334
0,0,1,1,100,82,NA,10.8000001907349
1,0,0,1,6,84,0,5.28000020980835
1,0,1,1,272.560729980469,72,0,29.7999992370605
0,0,1,1,0.200000002980232,79,NA,8.39999961853027
0,0,0,1,96.0884857177734,69,0,24
1,0,0,0,767,62,80.8383255004883,52.2000007629395
0,0,1,1,67,63,0,23
1,0,0,1,111.962837219238,71,0,22.2999992370605
1,0,0,1,611,67,0,30.7999992370605
0,0,1,1,170.075775146484,86,0,15.6000003814697
1,0,1,0,149.622406005859,58,0,6
0,0,0,0,232,56,0,25.6000003814697
0,0,1,1,342.5,83,0,31.0900001525879
1,0,0,1,40.5,78,0,13.5
0,0,0,0,94.8056030273438,61,0,12
0,0,1,1,419.882720947266,67,0,12.5500001907349
1,0,1,1,262.269622802734,79,0,12.3000001907349
1,0,0,1,383.200012207031,76,0,26.4400005340576
1,0,0,1,146.914123535156,67,0,20.5
1,0,0,1,48,60,NA,17.3999996185303
1,0,1,1,540.122436523438,71,0,24.0499992370605
0,0,0,0,0.100000001490116,68,NA,9.72000026702881
1,1,0,0,360.097900390625,59,0,42.5999984741211
0,0,0,1,620,56,0,22.5
1,0,0,1,198.079956054688,61,0,19.2000007629395
1,0,0,1,453.5,62,0,26.3999996185303
0,0,0,1,334.553375244141,79,0,11.3999996185303
1,0,1,1,129.642242431641,79,0,13.1999998092651
0,0,1,1,156,68,0,23.9400005340576
1,0,0,1,145.197631835938,64,0,22.2999992370605
1,0,1,0,257.150817871094,62,0,5.59999990463257
1,0,0,1,122.096961975098,83,0,21.8799991607666
0,0,1,1,9.69999980926514,86,0,8.89999961853027
1,0,1,1,0,64,NA,3.34100008010864
1,0,1,0,3,66,0,0
0,1,1,1,140,69,NA,19.7000007629395
0,0,1,1,206.53141784668,69,0,26.7000007629395
0,0,0,0,0,57,NA,18
0,0,1,1,81.3184432983398,76,0,19.7800006866455
1,0,0,1,161,90,NA,23.3999996185303
1,0,1,0,236.5,55,0,5.40000009536743
1,1,1,1,686.336059570312,78,0,33.439998626709
1,0,0,0,727.202941894531,56,37.8503913879395,44.2000007629395
0,0,0,0,105.562690734863,62,0,21.2000007629395
1,0,0,1,35,61,0,29.3999996185303
0,0,1,1,398.339996337891,62,0,18.8600006103516
1,0,0,0,25,64,0,20
1,0,0,0,473.891906738281,61,0,38.6599998474121
0,0,1,1,167.90087890625,64,NA,14.7119998931885
0,0,1,1,2.20000004768372,90,0,10.3999996185303
1,0,0,0,373.799987792969,58,0,20.3999996185303
1,0,0,0,3.59999990463257,61,0,17.6599998474121
1,0,0,1,208.102905273438,72,0,21.4810009002686
1,0,1,0,534.377197265625,60,0,8.39999961853027
1,0,0,0,313,72,0,28.25
1,0,0,1,0,79,NA,9.22999954223633
0,0,1,1,22.5,76,0,10.3999996185303
1,0,0,1,361.93701171875,55,0,37
0,0,1,0,15.3999996185303,82,0,14.3000001907349
0,0,1,0,0,57,NA,14.3999996185303
1,0,0,1,5.00446176528931,57,0,4.82000017166138
0,0,1,1,91.1827697753906,74,0,14.3400001525879
1,0,0,0,6.35613489151001,71,0,15.6000003814697
1,0,0,0,160,55,0,17.2000007629395
0,0,1,1,218,70,0,28.3999996185303
0,0,1,1,292.932006835938,83,94.3396224975586,25.7399997711182
0,0,0,1,95,77,0,22.0900001525879
1,1,0,1,100,71,NA,26.7999992370605
0,0,1,1,221.141448974609,82,0,26.3229999542236
1,0,0,1,484,76,0,37.8499984741211
0,0,1,1,70,78,NA,9.57999992370605
1,0,0,1,39,76,0,13.6499996185303
0,0,1,0,0.100000001490116,64,NA,14.3999996185303
0,0,1,1,1.5,73,0,24
1,0,0,1,1585,58,0,114
1,0,1,0,171.5,56,0,4.80000019073486
0,0,1,1,158.690139770508,90,0,17.7000007629395
1,0,0,1,81,80,NA,13.3500003814697
1,0,1,0,-19.2000007629395,63,NA,10.8999996185303
